Gene,IG,GainRatio,Gini,Relief,Cumulative_Weight
BraA01g034680,0.22808817741937115,0.1654885336658099,0.28739213652376916,0.16654182451610414,0.8475106721250543
BraA08g023330,0.2255477219284999,0.19079883095899408,0.21324380859885686,0.21601941902874403,0.8456097805150948
BraA01g021400,0.16190438298292326,0.20331520202813844,0.20351293074264443,0.25434922477507965,0.8230817405287858
BraA06g034710,0.2255477219284999,0.19079883095899408,0.23036398661664864,0.1265160756148045,0.7732266151189471
BraA03g020240,0.20307796501679765,0.14304409568023843,0.3028409206123897,0.11202859054090111,0.7609915718503268
BraA07g024680,0.18460962433145459,0.1649641673483352,0.16607523066004254,0.23793847173632193,0.7535874940761542
BraA02g039380,0.16190438298292326,0.20331520202813844,0.18372752312916102,0.20118648992259086,0.7501335980628134
BraA01g041820,0.13871875949667525,0.07765113498728851,0.176525576321531,0.3265061477657002,0.719401618571195
BraA07g007120,0.13941378188789325,0.06529020404345129,0.20351293074264443,0.29087735855321817,0.6990942752272071
BraA03g048030,0.14562888321908762,0.12874484710754422,0.2300008991968246,0.164042494129781,0.6684171236532374
BraA05g040910,0.18197348491488566,0.11997644352368532,0.23036398661664864,0.11318412374022618,0.6454980387954459
BraA04g017340,0.14100033680304136,0.12874484710754422,0.2300008991968246,0.13161667900016602,0.6313627621075761
BraA01g039340,0.14100033680304136,0.12874484710754422,0.2300008991968246,0.11241839285053178,0.6121644759579419
BraA02g003450,0.09797733811676682,0.09437816687176548,0.1702909391477481,0.23801873738655313,0.6006651815228335
BraA02g027840,0.10840938757303711,0.08788813542395998,0.07194169883501515,0.2731819030678818,0.5414211248998941
BraA04g022260,0.11240240406526554,0.057680091309851016,0.18372752312916102,0.1858843204430813,0.5396943389473589
BraA09g036680,0.11240240406526554,0.12874484710754422,0.18372752312916102,0.1136896683123554,0.5385644426143262
BraA06g028810,0.11240240406526554,0.0323845313884053,0.18372752312916102,0.17269466283356233,0.5012091214163942
BraA07g012710,0.10840938757303711,0.08788813542395998,0.11668736692689856,0.1599991942053175,0.47298408412921317
BraA03g032530,0.09044015404485513,0.06161526477853669,0.16607523066004254,0.1498666289645633,0.46799727844799766
BraA06g013990,0.10840938757303711,0.09437816687176548,0.16607523066004254,0.09028235017596081,0.45914513528080597
BraA07g034250,0.11240240406526554,0.0323845313884053,0.18372752312916102,0.12547983499501988,0.4539942935778517
BraA01g036230,0.10840938757303711,0.08788813542395998,0.07194169883501515,0.144995041174028,0.41323426300604027
